,0
0,0.0
1,8.119747746393458e-08
2,3.2478988348794147e-07
3,7.30777138913119e-07
4,1.2991591119559942e-06
5,2.029935617930967e-06
6,2.9231064195833767e-06
7,3.978671226700925e-06
8,5.196629696557764e-06
9,6.576981433525919e-06
10,8.119725989241822e-06
11,9.824862862717332e-06
12,1.1692391500062183e-05
13,1.3722311294817047e-05
14,1.591462158756496e-05
15,1.8269321666375404e-05
16,2.078641076641574e-05
17,2.3465888070117735e-05
18,2.630775270728858e-05
19,2.931200375488885e-05
20,3.247864023719904e-05
21,3.5807661125653034e-05
22,3.9299065339115646e-05
23,4.295285174354957e-05
24,4.676901915223741e-05
25,5.074756632572619e-05
26,5.4888491971882836e-05
27,5.9191794745672155e-05
28,6.36574732495454e-05
29,6.828552603305171e-05
30,7.307595159300462e-05
31,7.802874837353757e-05
32,8.314391476604843e-05
33,8.842144910919947e-05
34,9.386134968886184e-05
35,9.946361473822662e-05
36,0.00010522824243774931
37,0.00011115523091514978
38,0.00011724457824535683
39,0.00012349628245061917
40,0.0001299103415004499
41,0.00013648675331168203
42,0.000143225515748302
43,0.00015012662662161613
44,0.00015719008369025067
45,0.00016441588466009627
46,0.00017180402718419696
47,0.00017935450886302773
48,0.00018706732724427244
49,0.00019494247982282387
50,0.0002029799640409502
51,0.00021117977728818405
52,0.0002195419169012669
53,0.00022806638016426017
54,0.0002367531643085452
55,0.0002456022665127122
56,0.00025461368390261585
57,0.00026378741355154167
58,0.00027312345247987313
59,0.0002826217976554246
60,0.0002922824459931639
61,0.00030210539435543415
62,0.000312090639551843
63,0.000322238178339318
64,0.00033254800742199553
65,0.0003430201234513319
66,0.00035365452302615896
67,0.0003644512026924618
68,0.0003754101589436565
69,0.0003865313882203125
70,0.0003978148869103748
71,0.00040926065134910816
72,0.0004208686778190973
73,0.0004326389625500249
74,0.0004445715017191709
75,0.0004566662914508579
76,0.0004689233278168947
77,0.00048134260683629915
78,0.0004939241244754089
79,0.0005066678766478261
80,0.0005195738592145838
81,0.0005326420679839239
82,0.0005458724987114083
83,0.0005592651470999743
84,0.0005728200087997126
85,0.0005865370794082558
86,0.0006004163544704455
87,0.000614457829478332
88,0.0006286614998714524
89,0.0006430273610365522
90,0.0006575554083078083
91,0.0006722456369666618
92,0.0006870980422417627
93,0.0007021126193093585
94,0.0007172893632927391
95,0.0007326282692626807
96,0.000748129332237335
97,0.0007637925471820073
98,0.000779617909009489
99,0.0007956054125798917
100,0.0008117550527005912
101,0.0008280668241263944
102,0.000844540721559317
103,0.0008611767396489167
104,0.0008779748729919046
105,0.0008949351161324226
106,0.0009120574635619882
107,0.0009293419097193834
108,0.0009467884489908762
109,0.000964397075709944
110,0.000982167784157495
111,0.001000100568561757
112,0.0010181954230983892
113,0.0010364523418903704
114,0.0010548713190079995
115,0.0010734523484689507
116,0.0010921954242383847
117,0.001111100540228671
118,0.0011301676902996105
119,0.0011493968682584899
120,0.001168788067859694
121,0.0011883412828053164
122,0.0012080565067446036
123,0.0012279337332742335
124,0.0012479729559383146
125,0.0012681741682282754
126,0.0012885373635829755
127,0.0013090625353887053
128,0.0013297496769790196
129,0.0013505987816350151
130,0.0013716098425850531
131,0.0013927828530049813
132,0.0014141178060180226
133,0.0014356146946947757
134,0.0014572735120533253
135,0.0014790942510590765
136,0.0015010769046248096
137,0.0015232214656108467
138,0.0015455279268248856
139,0.0015679962810219439
140,0.0015906265209045256
141,0.0016134186391226213
142,0.0016363726282735414
143,0.0016594884809020827
144,0.0016827661895004176
145,0.0017062057465082048
146,0.001729807144312534
147,0.001753570375247815
148,0.00177749543159611
149,0.0018015823055867464
150,0.0018258309893965374
151,0.0018502414751497276
152,0.0018748137549181587
153,0.0018995478207208816
154,0.0019244436645245444
155,0.001949501278243282
156,0.001974720653738604
157,0.002000101782819508
158,0.0020256446572424203
159,0.0020513492687113666
160,0.002077215608877636
161,0.0021032436693402268
162,0.0021294334416453453
163,0.0021557849172869625
164,0.002182298087706258
165,0.00220897294429212
166,0.002235809478380757
167,0.002262807681255974
168,0.0022899675441490075
169,0.0023172890582385808
170,0.002344772214651014
171,0.0023724170044600035
172,0.002400223418686842
173,0.0024281914483001987
174,0.0024563210842164507
175,0.002484612317299295
176,0.002513065138360082
177,0.0025416795381575374
178,0.002570455507398095
179,0.0025993930367355644
180,0.002628492116771297
181,0.0026577527380542976
182,0.00268717489108089
183,0.002716758566295163
184,0.002746503754088525
185,0.002776410444800148
186,0.0028064786287166354
187,0.0028367082960720214
188,0.0028670994370481595
189,0.0028976520417742235
190,0.0029283661003270955
191,0.002959241602731144
192,0.0029902785389582798
193,0.0030214768989280105
194,0.0030528366725074974
195,0.003084357849511332
196,0.0031160404197018154
197,0.003147884372788734
198,0.0031798896984294722
199,0.0032120563862290674
200,0.0032443844257400434
201,0.003276873806462688
202,0.003309524517844664
203,0.0033423365492813994
204,0.003375309890115863
205,0.0034084445296386767
206,0.003441740457088005
207,0.003475197661649665
208,0.003508816132457182
209,0.0035425958585914574
210,0.0035765368290813226
211,0.0036106390329030402
212,0.003644902458980581
213,0.0036793270961854585
214,0.003713912933336949
215,0.0037486599592019276
216,0.0037835681624949213
217,0.003818637531878055
218,0.0038538680559611627
219,0.0038892597233017856
220,0.003924812522404952
221,0.003960526441723566
